support,itemsets
0.0021989417829216783,"frozenset({'cluster_36', 'decade_2000'})"
0.00775874467295945,"frozenset({'decade_2010', 'cluster_36'})"
0.00017031390745520745,"frozenset({'decade_1890', 'cluster_36'})"
0.001793973158528185,"frozenset({'cluster_81', 'decade_2000'})"
0.0005374349968586546,"frozenset({'decade_1890', 'cluster_81'})"
0.0050261526466781215,"frozenset({'decade_2010', 'cluster_81'})"
0.0025092915698400565,"frozenset({'decade_2010', 'cluster_33'})"
0.001339802738647632,"frozenset({'cluster_33', 'decade_2000'})"
0.00010218834447312447,"frozenset({'cluster_1', 'decade_1750'})"
0.00039361436389647944,"frozenset({'cluster_97', 'decade_1750'})"
0.0003065650334193734,"frozenset({'cluster_32', 'decade_1750'})"
0.00010975785147113369,"frozenset({'decade_1750', 'cluster_82'})"
0.00010218834447312447,"frozenset({'cluster_81', 'decade_1750'})"
0.00013246637246516134,"frozenset({'cluster_59', 'decade_1750'})"
0.00010218834447312447,"frozenset({'decade_1750', 'cluster_17'})"
0.00012489686546715212,"frozenset({'cluster_71', 'decade_1750'})"
0.00013246637246516134,"frozenset({'decade_1750', 'cluster_75'})"
0.00012868161896615674,"frozenset({'cluster_24', 'decade_1750'})"
0.0034668342050882227,"frozenset({'decade_2010', 'cluster_24'})"
0.0015214709065998532,"frozenset({'cluster_24', 'decade_2000'})"
0.0003179192939163872,"frozenset({'decade_1890', 'cluster_24'})"
0.0013246637246516135,"frozenset({'decade_2000', 'cluster_76'})"
0.004280556207374214,"frozenset({'decade_2010', 'cluster_76'})"
0.0020513363964604985,"frozenset({'cluster_14', 'decade_2000'})"
0.0053516414475925185,"frozenset({'cluster_14', 'decade_2010'})"
0.0006623318623258067,"frozenset({'decade_1890', 'cluster_14'})"
0.00016274440045719823,"frozenset({'cluster_14', 'decade_1640'})"
0.0001173273584691429,"frozenset({'decade_1640', 'cluster_91'})"
0.0004238923918885163,"frozenset({'decade_1640', 'cluster_82'})"
0.0001930224284492351,"frozenset({'decade_1640', 'cluster_17'})"
0.00010975785147113369,"frozenset({'cluster_38', 'decade_1640'})"
0.00032927355441340103,"frozenset({'cluster_24', 'decade_1640'})"
0.00017788341445321666,"frozenset({'cluster_69', 'decade_1640'})"
0.00015517489345918901,"frozenset({'decade_1640', 'cluster_88'})"
0.00010975785147113369,"frozenset({'cluster_8', 'decade_1640'})"
0.00029899552642136416,"frozenset({'cluster_71', 'decade_1640'})"
0.00017031390745520745,"frozenset({'decade_1640', 'cluster_75'})"
0.00017031390745520745,"frozenset({'cluster_1', 'decade_1640'})"
0.00014003587946317055,"frozenset({'cluster_81', 'decade_1640'})"
0.00018166816795222126,"frozenset({'cluster_93', 'decade_1640'})"
0.00010218834447312447,"frozenset({'decade_1640', 'cluster_59'})"
0.00017409866095421204,"frozenset({'cluster_83', 'decade_1640'})"
0.00014382063296217517,"frozenset({'cluster_27', 'decade_1640'})"
0.00012868161896615674,"frozenset({'cluster_94', 'decade_1640'})"
0.0021383857269376048,"frozenset({'cluster_85', 'decade_2000'})"
0.0074862424210311185,"frozenset({'cluster_85', 'decade_2010'})"
0.0043562512773543055,"frozenset({'cluster_27', 'decade_2010'})"
0.0024298117463609596,"frozenset({'cluster_27', 'decade_2000'})"
0.0002270852099402766,"frozenset({'decade_1890', 'cluster_27'})"
0.00018166816795222126,"frozenset({'decade_1880', 'cluster_27'})"
0.00010975785147113369,"frozenset({'decade_1720', 'cluster_77'})"
0.00017788341445321666,"frozenset({'decade_1720', 'cluster_82'})"
0.00012868161896615674,"frozenset({'decade_1720', 'cluster_24'})"
0.0001173273584691429,"frozenset({'decade_1720', 'cluster_17'})"
0.00010975785147113369,"frozenset({'decade_1720', 'cluster_81'})"
0.00026493274493032267,"frozenset({'cluster_71', 'decade_1720'})"
0.00014003587946317055,"frozenset({'decade_1720', 'cluster_75'})"
0.00012489686546715212,"frozenset({'decade_1720', 'cluster_1'})"
0.00013246637246516134,"frozenset({'decade_1880', 'cluster_88'})"
0.0011051480217093462,"frozenset({'decade_2000', 'cluster_88'})"
0.002494152555844038,"frozenset({'decade_2010', 'cluster_88'})"
0.00024222422393629502,"frozenset({'decade_1620', 'cluster_88'})"
0.00017409866095421204,"frozenset({'decade_1890', 'cluster_88'})"
0.00010218834447312447,"frozenset({'decade_1910', 'cluster_88'})"
0.00010218834447312447,"frozenset({'cluster_88', 'decade_1900'})"
0.00012868161896615674,"frozenset({'decade_1870', 'cluster_88'})"
0.00010218834447312447,"frozenset({'cluster_71', 'decade_1730'})"
0.0001173273584691429,"frozenset({'cluster_1', 'decade_1730'})"
0.00494288806970002,"frozenset({'decade_2010', 'cluster_75'})"
0.0006244843273357606,"frozenset({'decade_1890', 'cluster_75'})"
0.0017485561165401298,"frozenset({'decade_2000', 'cluster_75'})"
0.0001476053864611798,"frozenset({'decade_1460', 'cluster_75'})"
0.00016274440045719823,"frozenset({'cluster_83', 'decade_1460'})"
0.00012111211196814751,"frozenset({'cluster_25', 'decade_1460'})"
0.00013246637246516134,"frozenset({'cluster_38', 'decade_1460'})"
0.00018166816795222126,"frozenset({'cluster_14', 'decade_1460'})"
0.00012868161896615674,"frozenset({'decade_1460', 'cluster_15'})"
0.00014003587946317055,"frozenset({'decade_1460', 'cluster_91'})"
0.00010975785147113369,"frozenset({'cluster_81', 'decade_1460'})"
0.00013625112596416596,"frozenset({'cluster_19', 'decade_1460'})"
0.00013246637246516134,"frozenset({'cluster_1', 'decade_1460'})"
0.0023389776623848487,"frozenset({'decade_2000', 'cluster_4'})"
0.004757435148248794,"frozenset({'decade_2010', 'cluster_4'})"
0.00028764126592435035,"frozenset({'decade_1880', 'cluster_4'})"
0.00044281615938353936,"frozenset({'decade_1890', 'cluster_4'})"
0.00021573094944326275,"frozenset({'decade_1870', 'cluster_24'})"
0.00017409866095421204,"frozenset({'decade_1870', 'cluster_27'})"
0.000446600912882544,"frozenset({'decade_1870', 'cluster_71'})"
0.0003179192939163872,"frozenset({'decade_1870', 'cluster_82'})"
0.0001930224284492351,"frozenset({'decade_1870', 'cluster_14'})"
0.00020816144244525353,"frozenset({'decade_1870', 'cluster_15'})"
0.00020059193544724431,"frozenset({'decade_1870', 'cluster_19'})"
0.00021194619594425815,"frozenset({'decade_1870', 'cluster_38'})"
0.0003481973219084241,"frozenset({'decade_1870', 'cluster_1'})"
0.00020816144244525353,"frozenset({'decade_1870', 'cluster_43'})"
0.00010597309797212908,"frozenset({'decade_1870', 'cluster_52'})"
0.00029899552642136416,"frozenset({'decade_1870', 'cluster_75'})"
0.00042767714538752093,"frozenset({'decade_1870', 'cluster_77'})"
0.00021573094944326275,"frozenset({'decade_1870', 'cluster_83'})"
0.00014382063296217517,"frozenset({'decade_1870', 'cluster_13'})"
0.00017788341445321666,"frozenset({'decade_1870', 'cluster_30'})"
