support,itemsets
0.009927408427889091,"frozenset({'school_ modern', 'cluster_36'})"
0.0011429955566993923,"frozenset({'cluster_36', 'school_ Unknown'})"
0.0018583139680112635,"frozenset({'cluster_81', 'school_ Italy'})"
0.0004995874618686085,"frozenset({'cluster_81', 'school_ Netherlands'})"
0.00679741728421228,"frozenset({'school_ modern', 'cluster_81'})"
0.0038642333224837067,"frozenset({'cluster_81', 'school_ Unknown'})"
0.000601775806341733,"frozenset({'school_ France', 'cluster_81'})"
0.00027628700542733654,"frozenset({'cluster_33', 'school_ Italy'})"
0.003845309554988684,"frozenset({'school_ modern', 'cluster_33'})"
0.0004693094338765716,"frozenset({'cluster_33', 'school_ Unknown'})"
0.004973166097692057,"frozenset({'school_ modern', 'cluster_24'})"
0.0008212915092840003,"frozenset({'school_ France', 'cluster_24'})"
0.0014495605901187656,"frozenset({'school_ Netherlands', 'cluster_24'})"
0.0036977041685275036,"frozenset({'school_ Unknown', 'cluster_24'})"
0.002490367802345033,"frozenset({'school_ Italy', 'cluster_24'})"
0.005597650425027818,"frozenset({'cluster_76', 'school_ modern'})"
0.0005260807363616408,"frozenset({'cluster_14', 'school_ Netherlands'})"
0.002248143578408738,"frozenset({'cluster_14', 'school_ Italy'})"
0.007376484569559984,"frozenset({'school_ modern', 'cluster_14'})"
0.004405453072841366,"frozenset({'cluster_14', 'school_ Unknown'})"
0.00961327388747171,"frozenset({'school_ modern', 'cluster_85'})"
0.0005222959828626362,"frozenset({'cluster_85', 'school_ Unknown'})"
0.0005639282713516869,"frozenset({'school_ Italy', 'cluster_27'})"
0.00018166816795222126,"frozenset({'school_ France', 'cluster_27'})"
0.006778493516717256,"frozenset({'school_ modern', 'cluster_27'})"
0.002967246743219614,"frozenset({'school_ Unknown', 'cluster_27'})"
0.00012489686546715212,"frozenset({'school_ Flanders', 'cluster_27'})"
0.000378475349900461,"frozenset({'school_ Netherlands', 'cluster_27'})"
0.0004958027083696039,"frozenset({'school_ France', 'cluster_77'})"
0.000862923797773051,"frozenset({'school_ France', 'cluster_71'})"
0.0006471928483297882,"frozenset({'cluster_1', 'school_ France'})"
0.0005412197503576592,"frozenset({'school_ France', 'cluster_75'})"
0.00017409866095421204,"frozenset({'school_ France', 'cluster_30'})"
0.00040118387089448863,"frozenset({'school_ France', 'cluster_14'})"
0.0002270852099402766,"frozenset({'school_ France', 'cluster_59'})"
0.0003746905964014564,"frozenset({'school_ France', 'cluster_88'})"
0.0004958027083696039,"frozenset({'cluster_88', 'school_ Netherlands'})"
0.001793973158528185,"frozenset({'cluster_88', 'school_ Unknown'})"
0.003580376810058361,"frozenset({'school_ modern', 'cluster_88'})"
0.00111650228220636,"frozenset({'cluster_88', 'school_ Italy'})"
0.00028764126592435035,"frozenset({'school_ Flanders', 'cluster_88'})"
0.002039982135963485,"frozenset({'cluster_75', 'school_ Italy'})"
0.006664950911747118,"frozenset({'school_ modern', 'cluster_75'})"
0.004238923918885163,"frozenset({'cluster_75', 'school_ Unknown'})"
0.0005866367923457145,"frozenset({'cluster_75', 'school_ Netherlands'})"
0.001029452951729254,"frozenset({'cluster_4', 'school_ Italy'})"
0.00028385651242534573,"frozenset({'cluster_4', 'school_ Netherlands'})"
0.007073704289639615,"frozenset({'school_ modern', 'cluster_4'})"
0.003474403712086232,"frozenset({'cluster_4', 'school_ Unknown'})"
0.0001589596469581936,"frozenset({'school_ France', 'cluster_4'})"
0.00863680748472852,"frozenset({'school_ modern', 'cluster_43'})"
0.0023049148808938075,"frozenset({'cluster_43', 'school_ Unknown'})"
0.0001513901399601844,"frozenset({'cluster_43', 'school_ Netherlands'})"
0.0002346547169382858,"frozenset({'school_ France', 'cluster_43'})"
0.00012489686546715212,"frozenset({'cluster_43', 'school_ Flanders'})"
0.00014003587946317055,"frozenset({'cluster_43', 'school_ Italy'})"
0.006055605598407376,"frozenset({'school_ modern', 'cluster_19'})"
0.001339802738647632,"frozenset({'cluster_19', 'school_ Italy'})"
0.0034706189585872274,"frozenset({'cluster_19', 'school_ Unknown'})"
0.0003065650334193734,"frozenset({'school_ France', 'cluster_19'})"
0.00029142601942335497,"frozenset({'cluster_19', 'school_ Netherlands'})"
0.0005260807363616408,"frozenset({'school_ Flanders', 'cluster_14'})"
0.0008023677417889773,"frozenset({'cluster_71', 'school_ Flanders'})"
0.00017031390745520745,"frozenset({'cluster_28', 'school_ Flanders'})"
0.0003406278149104149,"frozenset({'school_ Flanders', 'cluster_81'})"
0.0007683049602979358,"frozenset({'school_ Flanders', 'cluster_24'})"
0.0005639282713516869,"frozenset({'school_ Flanders', 'cluster_83'})"
0.00045038566638154855,"frozenset({'cluster_25', 'school_ Flanders'})"
0.0006471928483297882,"frozenset({'school_ Flanders', 'cluster_82'})"
0.0005450045038566638,"frozenset({'cluster_38', 'school_ Flanders'})"
0.00036712108940344714,"frozenset({'school_ Flanders', 'cluster_17'})"
0.0005185112293636315,"frozenset({'cluster_1', 'school_ Flanders'})"
0.00047687894087458085,"frozenset({'school_ Flanders', 'cluster_91'})"
0.0005752825318487007,"frozenset({'school_ Flanders', 'cluster_75'})"
0.00021573094944326275,"frozenset({'school_ Flanders', 'cluster_77'})"
0.00012111211196814751,"frozenset({'school_ Flanders', 'cluster_30'})"
0.0002611479914313181,"frozenset({'school_ Flanders', 'cluster_4'})"
0.00017788341445321666,"frozenset({'cluster_15', 'school_ Flanders'})"
0.0001892376749502305,"frozenset({'school_ Flanders', 'cluster_48'})"
0.00036712108940344714,"frozenset({'school_ Flanders', 'cluster_19'})"
0.0004125381313915025,"frozenset({'school_ Italy', 'cluster_55'})"
0.007921489073416648,"frozenset({'school_ modern', 'cluster_55'})"
0.0018053274190251989,"frozenset({'school_ Unknown', 'cluster_55'})"
0.00015517489345918901,"frozenset({'school_ France', 'cluster_55'})"
0.009037991355623009,"frozenset({'school_ modern', 'cluster_28'})"
0.00029142601942335497,"frozenset({'cluster_28', 'school_ Netherlands'})"
0.003569022549561347,"frozenset({'cluster_28', 'school_ Unknown'})"
0.0012489686546715212,"frozenset({'cluster_28', 'school_ Italy'})"
0.00026493274493032267,"frozenset({'school_ France', 'cluster_28'})"
0.0002346547169382858,"frozenset({'cluster_75', 'school_ Germany'})"
0.0002460089774352996,"frozenset({'cluster_93', 'school_ Germany'})"
0.00017409866095421204,"frozenset({'school_ Germany', 'cluster_69'})"
0.00027628700542733654,"frozenset({'cluster_81', 'school_ Germany'})"
0.00023843947043729043,"frozenset({'cluster_19', 'school_ Germany'})"
0.00018166816795222126,"frozenset({'cluster_99', 'school_ Germany'})"
0.00010218834447312447,"frozenset({'cluster_15', 'school_ Germany'})"
0.0001513901399601844,"frozenset({'cluster_4', 'school_ Germany'})"
0.0002611479914313181,"frozenset({'cluster_38', 'school_ Germany'})"
0.0001930224284492351,"frozenset({'cluster_94', 'school_ Germany'})"
0.0002308699634392812,"frozenset({'cluster_14', 'school_ Germany'})"
0.0004693094338765716,"frozenset({'school_ Germany', 'cluster_24'})"
0.00023843947043729043,"frozenset({'cluster_25', 'school_ Germany'})"
0.00012868161896615674,"frozenset({'cluster_8', 'school_ Germany'})"
0.0002800717589263411,"frozenset({'cluster_83', 'school_ Germany'})"
0.00017031390745520745,"frozenset({'cluster_88', 'school_ Germany'})"
0.0003519820754074287,"frozenset({'cluster_71', 'school_ Germany'})"
0.00028385651242534573,"frozenset({'cluster_1', 'school_ Germany'})"
0.0001589596469581936,"frozenset({'school_ Germany', 'cluster_82'})"
0.00018166816795222126,"frozenset({'school_ Germany', 'cluster_17'})"
0.00012868161896615674,"frozenset({'cluster_60', 'school_ Germany'})"
0.00032548880091439646,"frozenset({'cluster_91', 'school_ Germany'})"
0.00010597309797212908,"frozenset({'cluster_48', 'school_ Germany'})"
0.0012943856966595765,"frozenset({'cluster_71', 'school_ Italy'})"
0.005692269262502933,"frozenset({'school_ modern', 'cluster_71'})"
0.005442475531568629,"frozenset({'cluster_71', 'school_ Unknown'})"
0.0011316412962023782,"frozenset({'cluster_71', 'school_ Netherlands'})"
0.008212915092840002,"frozenset({'school_ modern', 'cluster_11'})"
0.00261904942131119,"frozenset({'school_ Unknown', 'cluster_11'})"
0.00010218834447312447,"frozenset({'school_ Netherlands', 'cluster_11'})"
0.0013057399571565903,"frozenset({'cluster_94', 'school_ Italy'})"
0.0033873543816091258,"frozenset({'school_ modern', 'cluster_94'})"
0.0017447713630411252,"frozenset({'cluster_94', 'school_ Unknown'})"
0.0005412197503576592,"frozenset({'cluster_94', 'school_ Netherlands'})"
0.0003822601033994656,"frozenset({'school_ France', 'cluster_94'})"
0.0003746905964014564,"frozenset({'school_ Flanders', 'cluster_94'})"
0.0005752825318487007,"frozenset({'cluster_93', 'school_ Netherlands'})"
0.0012716771756655489,"frozenset({'cluster_93', 'school_ Italy'})"
0.0019264395309933464,"frozenset({'cluster_93', 'school_ Unknown'})"
0.0031034978691837803,"frozenset({'school_ modern', 'cluster_93'})"
0.00045038566638154855,"frozenset({'school_ France', 'cluster_93'})"
0.00032548880091439646,"frozenset({'school_ Flanders', 'cluster_93'})"
0.0013057399571565903,"frozenset({'school_ Netherlands', 'cluster_82'})"
0.0012792466826635582,"frozenset({'school_ Italy', 'cluster_82'})"
0.004757435148248794,"frozenset({'school_ Unknown', 'cluster_82'})"
0.004666601064272684,"frozenset({'school_ modern', 'cluster_82'})"
0.0006169148203377514,"frozenset({'school_ France', 'cluster_82'})"
0.0004617399268785624,"frozenset({'cluster_38', 'school_ Netherlands'})"
0.003958852159958822,"frozenset({'cluster_38', 'school_ Unknown'})"
0.005521955355047726,"frozenset({'school_ modern', 'cluster_38'})"
0.0015366099205958716,"frozenset({'cluster_38', 'school_ Italy'})"
0.0002611479914313181,"frozenset({'school_ France', 'cluster_38'})"
0.0002270852099402766,"frozenset({'school_ Netherlands', 'cluster_13'})"
0.0009461883747511525,"frozenset({'school_ Italy', 'cluster_13'})"
0.0028007175892634114,"frozenset({'school_ Unknown', 'cluster_13'})"
0.008928233504151874,"frozenset({'school_ modern', 'cluster_13'})"
0.00017409866095421204,"frozenset({'school_ France', 'cluster_13'})"
0.007577076505007229,"frozenset({'school_ modern', 'cluster_98'})"
0.00024222422393629502,"frozenset({'cluster_98', 'school_ Unknown'})"
0.00047309418737557623,"frozenset({'cluster_77', 'school_ Italy'})"
0.010801686486159156,"frozenset({'school_ modern', 'cluster_77'})"
0.00485205398572391,"frozenset({'cluster_77', 'school_ Unknown'})"
0.00029899552642136416,"frozenset({'cluster_77', 'school_ Netherlands'})"
0.008072879213376833,"frozenset({'cluster_89', 'school_ modern'})"
0.0014306368226237424,"frozenset({'cluster_89', 'school_ Unknown'})"
