antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'school_ India'}),frozenset({'cluster_52'}),0.001990780340476425,0.021300592692397945,0.0004087533778924979,0.2053231939163498,9.639318345804924,1.0,0.00036634857671997626,1.2315691106310973,0.8980460368746702,0.017863049950380416,0.18802770273479294,0.11225647968738599
frozenset({'cluster_52'}),frozenset({'school_ India'}),0.021300592692397945,0.001990780340476425,0.0004087533778924979,0.019189765458422176,9.639318345804924,1.0,0.00036634857671997626,1.0175354870006883,0.9157645522083435,0.017863049950380416,0.017233292818490474,0.11225647968738599
frozenset({'cluster_32'}),frozenset({'school_ Japan'}),0.01503304089804631,0.0038566638154856974,0.0004920179548705992,0.03272910372608258,8.486377162215984,1.0,0.0004340405700023874,1.0298493834786286,0.8956281009861085,0.02674346842213536,0.028984222312007594,0.08015257934096082
frozenset({'school_ Japan'}),frozenset({'cluster_32'}),0.0038566638154856974,0.01503304089804631,0.0004920179548705992,0.12757605495583904,8.486377162215982,1.0,0.0004340405700023874,1.1290003726939153,0.885579469409955,0.02674346842213536,0.11426069983139753,0.08015257934096082
frozenset({'cluster_59'}),frozenset({'school_ China'}),0.016603713600133223,0.0036825651545314853,0.0004995874618686085,0.03008889901983132,8.17063589025878,1.0,0.00043844320472893737,1.0272255197807452,0.8924281260674917,0.025248661055853095,0.026503936337715025,0.08287589863632883
frozenset({'school_ China'}),frozenset({'cluster_59'}),0.0036825651545314853,0.016603713600133223,0.0004995874618686085,0.13566289825282632,8.17063589025878,1.0,0.00043844320472893737,1.1377462386053154,0.880854308436029,0.025248661055853095,0.12106938606465457,0.08287589863632883
frozenset({'cluster_59'}),frozenset({'school_ Japan'}),0.016603713600133223,0.0038566638154856974,0.00048444844787259004,0.02917711420104855,7.565376604487385,1.0,0.0004204135064282685,1.0260814312846829,0.8824711723678083,0.024251610458507013,0.025418480921176167,0.07739523030955273
frozenset({'school_ Japan'}),frozenset({'cluster_59'}),0.0038566638154856974,0.016603713600133223,0.00048444844787259004,0.1256133464180569,7.565376604487385,1.0,0.0004204135064282685,1.1246698269825637,0.8711787171968738,0.024251610458507013,0.11085015707858631,0.07739523030955273
frozenset({'school_ India'}),frozenset({'cluster_30'}),0.001990780340476425,0.015718081281366144,0.00021573094944326275,0.10836501901140683,6.894290535313241,1.0,0.00018443970223830852,1.103906800098084,0.8566578605395821,0.012332323669407183,0.09412642452139229,0.06104501853532056
frozenset({'cluster_30'}),frozenset({'school_ India'}),0.015718081281366144,0.001990780340476425,0.00021573094944326275,0.013725018059234288,6.894290535313241,1.0,0.00018443970223830852,1.0118975315541996,0.8686052508465324,0.012332323669407183,0.011757644606490774,0.06104501853532056
frozenset({'school_ Spain'}),frozenset({'cluster_93'}),0.004848269232224905,0.00839836801429123,0.00027628700542733654,0.05698672911787667,6.785452723779692,1.0,0.00023556945618274661,1.0515245782894809,0.856779797400294,0.02130142982200175,0.04899988012956972,0.044942215392647214
frozenset({'cluster_93'}),frozenset({'school_ Spain'}),0.00839836801429123,0.004848269232224905,0.00027628700542733654,0.032897701667417754,6.7854527237796916,1.0,0.00023556945618274661,1.0290035836783284,0.8598472115887508,0.02130142982200175,0.028186086169545498,0.044942215392647214
frozenset({'cluster_24'}),frozenset({'school_ Austria'}),0.015464502796932835,0.0011392108032003876,0.00010218834447312447,0.006607929515418502,5.800444919285202,1.0,8.457101582073597e-05,1.0055050959985523,0.8405988754427239,0.006192660550458715,0.005474955841059294,0.04815446309657968
frozenset({'school_ Austria'}),frozenset({'cluster_24'}),0.0011392108032003876,0.015464502796932835,0.00010218834447312447,0.08970099667774087,5.800444919285202,1.0,8.457101582073597e-05,1.0815517688252674,0.8285433172803065,0.006192660550458715,0.07540255693340049,0.04815446309657968
frozenset({'cluster_88'}),frozenset({'school_ Spain'}),0.008209130339340998,0.004848269232224905,0.00021951570294226737,0.02674043337943753,5.515459661708217,1.0,0.0001797156288947164,1.02249365420905,0.8254678218248469,0.017099056603773585,0.021998820351065942,0.03600878031188895
frozenset({'school_ Spain'}),frozenset({'cluster_88'}),0.004848269232224905,0.008209130339340998,0.00021951570294226737,0.04527712724434036,5.515459661708217,1.0,0.0001797156288947164,1.038825923168687,0.8226800231286556,0.017099056603773585,0.03737481160487207,0.03600878031188895
frozenset({'school_ Spain'}),frozenset({'cluster_94'}),0.004848269232224905,0.008368089986299192,0.000223300456441272,0.04605776736924279,5.503976109799454,1.0,0.0001827297032282083,1.0395093917574065,0.8222998961599554,0.017186134576172445,0.038007729483435906,0.0363712626986422
frozenset({'cluster_94'}),frozenset({'school_ Spain'}),0.008368089986299192,0.004848269232224905,0.000223300456441272,0.026684758028041614,5.503976109799454,1.0,0.0001827297032282083,1.0224351657655906,0.8252186689539218,0.017186134576172445,0.021942873755512154,0.0363712626986422
frozenset({'school_ Spain'}),frozenset({'cluster_8'}),0.004848269232224905,0.008122081008863892,0.00020437668894624894,0.042154566744730684,5.190118973047182,1.0,0.0001649986534893359,1.0355302479442914,0.811259393357006,0.016009487103468723,0.034311163787658555,0.033658830436671026
frozenset({'cluster_8'}),frozenset({'school_ Spain'}),0.008122081008863892,0.004848269232224905,0.00020437668894624894,0.025163094128611372,5.1901189730471815,1.0,0.0001649986534893359,1.0208392037417042,0.8139370520739,0.016009487103468723,0.020413796477762505,0.033658830436671026
frozenset({'cluster_24'}),frozenset({'school_ Netherlands'}),0.015464502796932835,0.018193310069715158,0.0014495605901187656,0.09373470386686246,5.152152275076902,1.0,0.0011682100956601892,1.0833546138415187,0.8185650594984133,0.04500587544065806,0.0769412090709132,0.08670508856750654
frozenset({'school_ Netherlands'}),frozenset({'cluster_24'}),0.018193310069715158,0.015464502796932835,0.0014495605901187656,0.07967547326815062,5.152152275076902,1.0,0.0011682100956601892,1.0697699220287396,0.8208401573466093,0.04500587544065806,0.06521955851630797,0.08670508856750654
frozenset({'cluster_13'}),frozenset({'school_ India'}),0.013750009461883747,0.001990780340476425,0.00014003587946317055,0.010184420589044866,5.115793230411134,1.0,0.00011266263094508756,1.0082779463356644,0.8157433715927106,0.008976225133430374,0.008209984524355144,0.04026331295611939
frozenset({'school_ India'}),frozenset({'cluster_13'}),0.001990780340476425,0.013750009461883747,0.00014003587946317055,0.07034220532319391,5.115793230411134,1.0,0.00011266263094508756,1.0608742229510206,0.8061317237022225,0.008976225133430374,0.057381187735608914,0.04026331295611939
frozenset({'school_ Netherlands'}),frozenset({'cluster_82'}),0.018193310069715158,0.014234457909756337,0.0013057399571565903,0.07177033492822966,5.042013920251791,1.0,0.0010467680507300838,1.061984527303407,0.8165217871768481,0.04195549069682598,0.058366695285851346,0.08175062877759529
frozenset({'cluster_82'}),frozenset({'school_ Netherlands'}),0.014234457909756337,0.018193310069715158,0.0013057399571565903,0.0917309226269609,5.042013920251791,1.0,0.0010467680507300838,1.0809645669870613,0.8132426209828622,0.04195549069682598,0.0749002968827473,0.08175062877759529
