,precision,recall,f1-score,support
2010,0.5215137180700095,1.0,0.6855195741929065,27562.0
2000,0.0,0.0,0.0,9310.0
1890,0.0,0.0,0.0,1412.0
1880,0.0,0.0,0.0,774.0
1910,0.0,0.0,0.0,630.0
1900,0.0,0.0,0.0,622.0
1950,0.0,0.0,0.0,521.0
1870,0.0,0.0,0.0,504.0
1850,0.0,0.0,0.0,500.0
1620,0.0,0.0,0.0,467.0
1920,0.0,0.0,0.0,441.0
1930,0.0,0.0,0.0,426.0
1650,0.0,0.0,0.0,382.0
1630,0.0,0.0,0.0,369.0
1500,0.0,0.0,0.0,351.0
1510,0.0,0.0,0.0,332.0
1860,0.0,0.0,0.0,314.0
1940,0.0,0.0,0.0,302.0
1520,0.0,0.0,0.0,290.0
1640,0.0,0.0,0.0,288.0
1490,0.0,0.0,0.0,258.0
1670,0.0,0.0,0.0,251.0
1990,0.0,0.0,0.0,240.0
1450,0.0,0.0,0.0,233.0
1790,0.0,0.0,0.0,230.0
1660,0.0,0.0,0.0,229.0
1470,0.0,0.0,0.0,225.0
1480,0.0,0.0,0.0,224.0
1750,0.0,0.0,0.0,219.0
1960,0.0,0.0,0.0,197.0
1610,0.0,0.0,0.0,185.0
1600,0.0,0.0,0.0,178.0
1550,0.0,0.0,0.0,176.0
1820,0.0,0.0,0.0,175.0
1830,0.0,0.0,0.0,172.0
1720,0.0,0.0,0.0,172.0
1570,0.0,0.0,0.0,169.0
1560,0.0,0.0,0.0,166.0
1840,0.0,0.0,0.0,161.0
1300,0.0,0.0,0.0,159.0
1770,0.0,0.0,0.0,154.0
1460,0.0,0.0,0.0,153.0
1590,0.0,0.0,0.0,147.0
1970,0.0,0.0,0.0,144.0
1800,0.0,0.0,0.0,139.0
1530,0.0,0.0,0.0,139.0
1440,0.0,0.0,0.0,137.0
1980,0.0,0.0,0.0,123.0
1810,0.0,0.0,0.0,122.0
1540,0.0,0.0,0.0,116.0
1430,0.0,0.0,0.0,115.0
1780,0.0,0.0,0.0,110.0
1760,0.0,0.0,0.0,107.0
1740,0.0,0.0,0.0,102.0
1700,0.0,0.0,0.0,102.0
1730,0.0,0.0,0.0,96.0
1420,0.0,0.0,0.0,94.0
1690,0.0,0.0,0.0,86.0
1580,0.0,0.0,0.0,81.0
1680,0.0,0.0,0.0,81.0
1320,0.0,0.0,0.0,72.0
1710,0.0,0.0,0.0,66.0
1360,0.0,0.0,0.0,54.0
1400,0.0,0.0,0.0,48.0
1330,0.0,0.0,0.0,46.0
1340,0.0,0.0,0.0,39.0
1290,0.0,0.0,0.0,34.0
1370,0.0,0.0,0.0,30.0
1350,0.0,0.0,0.0,29.0
1310,0.0,0.0,0.0,29.0
1410,0.0,0.0,0.0,28.0
1390,0.0,0.0,0.0,26.0
1380,0.0,0.0,0.0,21.0
1270,0.0,0.0,0.0,17.0
1100,0.0,0.0,0.0,16.0
1200,0.0,0.0,0.0,15.0
1280,0.0,0.0,0.0,15.0
-50,0.0,0.0,0.0,9.0
1260,0.0,0.0,0.0,9.0
1180,0.0,0.0,0.0,9.0
1250,0.0,0.0,0.0,8.0
1090,0.0,0.0,0.0,7.0
1220,0.0,0.0,0.0,6.0
1120,0.0,0.0,0.0,4.0
1150,0.0,0.0,0.0,4.0
590,0.0,0.0,0.0,4.0
960,0.0,0.0,0.0,4.0
890,0.0,0.0,0.0,4.0
1130,0.0,0.0,0.0,3.0
1080,0.0,0.0,0.0,3.0
1190,0.0,0.0,0.0,3.0
1000,0.0,0.0,0.0,3.0
820,0.0,0.0,0.0,2.0
250,0.0,0.0,0.0,2.0
750,0.0,0.0,0.0,2.0
990,0.0,0.0,0.0,2.0
-10,0.0,0.0,0.0,2.0
770,0.0,0.0,0.0,1.0
870,0.0,0.0,0.0,1.0
740,0.0,0.0,0.0,1.0
680,0.0,0.0,0.0,1.0
650,0.0,0.0,0.0,1.0
1160,0.0,0.0,0.0,1.0
970,0.0,0.0,0.0,1.0
1230,0.0,0.0,0.0,1.0
1050,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,1.0
900,0.0,0.0,0.0,1.0
accuracy,0.5215137180700095,0.5215137180700095,0.5215137180700095,0.5215137180700095
macro avg,0.004828830722870458,0.009259259259259259,0.006347403464749135,52850.0
weighted avg,0.2719765581352053,0.5215137180700095,0.35750786194711237,52850.0
