,precision,recall,f1-score,support
2010,0.7985034420832087,0.9679268558159785,0.8750902053401561,27562.0
2000,0.7380191693290735,0.2729323308270677,0.3984944718889673,9310.0
1890,0.44041450777202074,0.7223796033994334,0.5472103004291845,1412.0
1880,0.5366336633663367,0.35012919896640826,0.42376856919468336,774.0
1910,0.36731843575418993,0.4174603174603175,0.39078751857355126,630.0
1900,0.3770491803278688,0.2958199356913183,0.33153153153153153,622.0
1950,0.5736434108527132,0.5681381957773513,0.570877531340405,521.0
1870,0.3488372093023256,0.35714285714285715,0.35294117647058826,504.0
1850,0.5571205007824727,0.712,0.6251097453906936,500.0
1620,0.46771037181996084,0.5117773019271948,0.4887525562372188,467.0
1920,0.3567961165048544,0.3333333333333333,0.34466588511137164,441.0
1930,0.36619718309859156,0.18309859154929578,0.24413145539906103,426.0
1650,0.38903394255874674,0.3900523560209424,0.3895424836601307,382.0
1630,0.3706467661691542,0.4037940379403794,0.3865110246433204,369.0
1500,0.4497991967871486,0.3190883190883191,0.37333333333333335,351.0
1510,0.405982905982906,0.572289156626506,0.475,332.0
1860,0.3305084745762712,0.12420382165605096,0.18055555555555555,314.0
1940,0.5414364640883977,0.32450331125827814,0.4057971014492754,302.0
1520,0.4368932038834951,0.6206896551724138,0.5128205128205128,290.0
1640,0.38095238095238093,0.2222222222222222,0.2807017543859649,288.0
1490,0.4398496240601504,0.45348837209302323,0.44656488549618323,258.0
1670,0.4678111587982833,0.4342629482071713,0.45041322314049587,251.0
1990,0.73046875,0.7791666666666667,0.7540322580645161,240.0
1450,0.4461538461538462,0.6223175965665236,0.5197132616487455,233.0
1790,0.4645390070921986,0.5695652173913044,0.51171875,230.0
1660,0.39819004524886875,0.38427947598253276,0.39111111111111113,229.0
1470,0.47058823529411764,0.4622222222222222,0.4663677130044843,225.0
1480,0.4756944444444444,0.6116071428571429,0.53515625,224.0
1750,0.5447761194029851,0.6666666666666666,0.5995893223819302,219.0
1960,0.23668639053254437,0.40609137055837563,0.29906542056074764,197.0
1610,0.3333333333333333,0.3783783783783784,0.35443037974683544,185.0
1600,0.46116504854368934,0.5337078651685393,0.4947916666666667,178.0
1550,0.45614035087719296,0.29545454545454547,0.3586206896551724,176.0
1820,0.36065573770491804,0.25142857142857145,0.2962962962962963,175.0
1830,0.25806451612903225,0.23255813953488372,0.24464831804281345,172.0
1720,0.47560975609756095,0.45348837209302323,0.4642857142857143,172.0
1570,0.35,0.41420118343195267,0.3794037940379404,169.0
1560,0.5119047619047619,0.5180722891566265,0.5149700598802395,166.0
1840,0.3305084745762712,0.2422360248447205,0.27956989247311825,161.0
1300,0.6846846846846847,0.9559748427672956,0.7979002624671916,159.0
1770,0.3850574712643678,0.43506493506493504,0.40853658536585363,154.0
1460,0.3431372549019608,0.22875816993464052,0.27450980392156865,153.0
1590,0.48514851485148514,0.3333333333333333,0.3951612903225806,147.0
1970,0.24074074074074073,0.18055555555555555,0.20634920634920634,144.0
1800,0.39344262295081966,0.34532374100719426,0.367816091954023,139.0
1530,0.44871794871794873,0.2517985611510791,0.3225806451612903,139.0
1440,0.43209876543209874,0.25547445255474455,0.3211009174311927,137.0
1980,0.5068493150684932,0.3008130081300813,0.37755102040816324,123.0
1810,0.2153846153846154,0.11475409836065574,0.1497326203208556,122.0
1540,0.484375,0.2672413793103448,0.34444444444444444,116.0
1430,0.41714285714285715,0.6347826086956522,0.503448275862069,115.0
1780,0.37142857142857144,0.23636363636363636,0.28888888888888886,110.0
1760,0.4126984126984127,0.24299065420560748,0.3058823529411765,107.0
1740,0.3561643835616438,0.2549019607843137,0.29714285714285715,102.0
1700,0.35,0.3431372549019608,0.3465346534653465,102.0
1730,0.3181818181818182,0.2916666666666667,0.30434782608695654,96.0
1420,0.5443037974683544,0.4574468085106383,0.49710982658959535,94.0
1690,0.4897959183673469,0.27906976744186046,0.35555555555555557,86.0
1580,0.26666666666666666,0.09876543209876543,0.14414414414414414,81.0
1680,0.4852941176470588,0.4074074074074074,0.4429530201342282,81.0
1320,0.5066666666666667,0.5277777777777778,0.5170068027210885,72.0
1710,0.3974358974358974,0.4696969696969697,0.4305555555555556,66.0
1360,0.3711340206185567,0.6666666666666666,0.4768211920529801,54.0
1400,0.5208333333333334,0.5208333333333334,0.5208333333333334,48.0
1330,0.6486486486486487,0.5217391304347826,0.5783132530120482,46.0
1340,0.6666666666666666,0.05128205128205128,0.09523809523809523,39.0
1290,0.6363636363636364,0.20588235294117646,0.3111111111111111,34.0
1370,0.6,0.6,0.6,30.0
1350,0.2191780821917808,0.5517241379310345,0.3137254901960784,29.0
1310,0.0,0.0,0.0,29.0
1410,0.3235294117647059,0.39285714285714285,0.3548387096774194,28.0
1390,0.7142857142857143,0.38461538461538464,0.5,26.0
1380,0.8,0.5714285714285714,0.6666666666666666,21.0
1270,0.75,0.35294117647058826,0.48,17.0
1100,0.5,0.375,0.42857142857142855,16.0
1200,0.0,0.0,0.0,15.0
1280,0.0,0.0,0.0,15.0
-50,0.8181818181818182,1.0,0.9,9.0
1260,0.875,0.7777777777777778,0.8235294117647058,9.0
1180,0.5333333333333333,0.8888888888888888,0.6666666666666666,9.0
1250,1.0,0.125,0.2222222222222222,8.0
1090,1.0,0.2857142857142857,0.4444444444444444,7.0
1220,0.0,0.0,0.0,6.0
1120,0.0,0.0,0.0,4.0
1150,0.3333333333333333,0.25,0.2857142857142857,4.0
590,0.23529411764705882,1.0,0.38095238095238093,4.0
960,0.0,0.0,0.0,4.0
890,1.0,1.0,1.0,4.0
1130,0.5,0.3333333333333333,0.4,3.0
1080,0.2,0.6666666666666666,0.3076923076923077,3.0
1190,0.5,1.0,0.6666666666666666,3.0
1000,0.0,0.0,0.0,3.0
820,0.0,0.0,0.0,2.0
250,1.0,1.0,1.0,2.0
750,1.0,0.5,0.6666666666666666,2.0
990,0.0,0.0,0.0,2.0
-10,0.0,0.0,0.0,2.0
770,0.0,0.0,0.0,1.0
870,0.0,0.0,0.0,1.0
740,0.0,0.0,0.0,1.0
680,1.0,1.0,1.0,1.0
650,0.0,0.0,0.0,1.0
1160,0.3333333333333333,1.0,0.5,1.0
970,0.14285714285714285,1.0,0.25,1.0
1230,0.0,0.0,0.0,1.0
1050,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,1.0
900,0.0,0.0,0.0,1.0
micro avg,0.6848897719746428,0.6848249763481552,0.6848573726287904,52850.0
macro avg,0.4092872662963693,0.3917928182651977,0.3722064694364061,52850.0
weighted avg,0.6775609711435443,0.6848249763481552,0.6540416471744628,52850.0
