feature,importance
artist,0.5516167359805847
school,0.4483832640194153
#c1afbe,0.0
#b39341,0.0
#ed5714,0.0
#a32f3a,0.0
#4d735d,0.0
#7292dc,0.0
#141127,0.0
#090423,0.0
#2e242c,0.0
#977953,0.0
#c75561,0.0
#85190b,0.0
#4d3e19,0.0
#75b598,0.0
#a2afb5,0.0
#281f30,0.0
#abbae4,0.0
#958d86,0.0
#5d7394,0.0
#5e483b,0.0
#eedde6,0.0
#d8ca68,0.0
#9a8c68,0.0
#f6f5c3,0.0
#decaa1,0.0
#f5eb0e,0.0
#995f4b,0.0
#1e0311,0.0
#a7a25f,0.0
#989678,0.0
#1a6ee0,0.0
#bec7d3,0.0
#8c877a,0.0
#763831,0.0
#b35621,0.0
#1a0422,0.0
#f1d1ac,0.0
#51390b,0.0
#2d334e,0.0
#05291c,0.0
#9e927b,0.0
#492a1a,0.0
#c3250e,0.0
#35546b,0.0
#3f6530,0.0
#dae8ef,0.0
#3e3533,0.0
#ccd0bc,0.0
#831dc9,0.0
#4d676c,0.0
#6f948d,0.0
#1d4e71,0.0
#92b1ce,0.0
#f1db91,0.0
#030b24,0.0
#7f270b,0.0
#755db9,0.0
#1abfb6,0.0
#202f2d,0.0
#4a5256,0.0
#bb8e4a,0.0
#394954,0.0
#d9eae2,0.0
#a0d4a5,0.0
#5f5e23,0.0
#2b2b25,0.0
#354d36,0.0
#3d5b88,0.0
#d7a75d,0.0
#b9da5c,0.0
#3c3933,0.0
#c0b686,0.0
#583427,0.0
#48b2e8,0.0
#6e8faf,0.0
#020325,0.0
#808591,0.0
#c4e0ad,0.0
#736978,0.0
#98c4b6,0.0
#be957c,0.0
#633b33,0.0
#c9bdca,0.0
#4c8277,0.0
#222813,0.0
#1347ac,0.0
#293d69,0.0
#b5a8b8,0.0
#ecacc6,0.0
#b4090c,0.0
#e6eedc,0.0
#80a5a3,0.0
#34373e,0.0
#6d6047,0.0
#eaa7ae,0.0
#585e96,0.0
#ed9c53,0.0
#cd7737,0.0
#96443c,0.0
#20031c,0.0
#8d7198,0.0
#117947,0.0
#b3b58f,0.0
#f19c12,0.0
#162822,0.0
#567469,0.0
#9ad3ec,0.0
#1229d8,0.0
#6b9b5c,0.0
#dad7e9,0.0
#bc8650,0.0
#b35b33,0.0
#4b0405,0.0
#e5d9e7,0.0
#eb9c99,0.0
#99882e,0.0
#252b2b,0.0
#9994a2,0.0
#b19263,0.0
#503442,0.0
#29364e,0.0
#98996b,0.0
#f1e9d9,0.0
#c2ccb8,0.0
#9e526e,0.0
#a8a899,0.0
#8e887f,0.0
#61474d,0.0
#63a4a0,0.0
#f10c10,0.0
#ddd1a8,0.0
#e6b2d2,0.0
#f0c8aa,0.0
#380b04,0.0
#983b51,0.0
#585861,0.0
#0c6a73,0.0
#88803f,0.0
#c4887a,0.0
#991241,0.0
#bfc455,0.0
#d3c4c0,0.0
#0f7966,0.0
#997811,0.0
#7b6122,0.0
#93401e,0.0
#798750,0.0
#706962,0.0
#ccaf17,0.0
#ae5856,0.0
#f3d189,0.0
#737b81,0.0
#995633,0.0
#32362e,0.0
#162e12,0.0
#05240f,0.0
#b697cb,0.0
#212662,0.0
#282328,0.0
#78340c,0.0
#c59baf,0.0
#698ca0,0.0
#5a5a51,0.0
#edc2b8,0.0
#d6b03a,0.0
#94a5a1,0.0
#c37897,0.0
#606a6d,0.0
#9ea67c,0.0
#b67660,0.0
#640a1d,0.0
