feature,importance
artist,0.5516167359805847
school,0.4483832640194153
#c0c8a0,0.0
#8b6f52,0.0
#49284f,0.0
#5f6242,0.0
#ea6437,0.0
#b69874,0.0
#1e2320,0.0
#c3b9b4,0.0
#98aba9,0.0
#96b6e7,0.0
#bcccbe,0.0
#76c935,0.0
#562a2b,0.0
#8b9585,0.0
#ab8a84,0.0
#dad2cc,0.0
#a09271,0.0
#9a5539,0.0
#ae868d,0.0
#3b3b3b,0.0
#96c6e8,0.0
#47341c,0.0
#e1e4ee,0.0
#553e30,0.0
#a59d99,0.0
#d7d7d0,0.0
#af96c1,0.0
#9f7755,0.0
#55a974,0.0
#4a0e1e,0.0
#d6ad69,0.0
#231617,0.0
#091c1c,0.0
#735f5a,0.0
#352416,0.0
#b6ac8b,0.0
#8577a1,0.0
#f4efe7,0.0
#a5d3b7,0.0
#edd6c9,0.0
#94c1c8,0.0
#6a6c62,0.0
#f6f7f0,0.0
#383834,0.0
#528d87,0.0
#a13663,0.0
#526f5f,0.0
#4c4037,0.0
#160e0e,0.0
#221d09,0.0
#45364c,0.0
#d4dada,0.0
#767157,0.0
#d08b4e,0.0
#baa9ab,0.0
#450405,0.0
#647584,0.0
#8b644d,0.0
#aa1225,0.0
#b2b5a9,0.0
#828077,0.0
#7f7d51,0.0
#211e17,0.0
#87878e,0.0
#737713,0.0
#618c5f,0.0
#7b4f69,0.0
#1d334b,0.0
#2f5f42,0.0
#846322,0.0
#818aa6,0.0
#0a1019,0.0
#341f9d,0.0
#edecec,0.0
#61656a,0.0
#ecf0f4,0.0
#303234,0.0
#313c33,0.0
#594610,0.0
#b3bfe0,0.0
#121b12,0.0
#0d060d,0.0
#a4968a,0.0
#2f5067,0.0
#191c12,0.0
#1a1e1c,0.0
#a89ea2,0.0
#958079,0.0
#474968,0.0
#c58a15,0.0
#323830,0.0
#72524f,0.0
#6d4135,0.0
#82827b,0.0
#f5edea,0.0
#cbc4ac,0.0
#111e1a,0.0
#499ab7,0.0
#ebbd85,0.0
#83795c,0.0
#50403b,0.0
#98a634,0.0
#9c8d7a,0.0
#f1dd87,0.0
#0b0b11,0.0
#1b090c,0.0
#444035,0.0
#2e56a4,0.0
#f2ed76,0.0
#081a4e,0.0
#1a0902,0.0
#010914,0.0
#b3a4a2,0.0
#f8f7eb,0.0
#f1d0a0,0.0
#1b191b,0.0
#1f1c0e,0.0
#4d8972,0.0
#cc207d,0.0
#657063,0.0
#f8f5ed,0.0
#8f9f8d,0.0
#225581,0.0
#15070b,0.0
#c5a588,0.0
#1f1604,0.0
#87ac8a,0.0
#edc7c7,0.0
#8b7f7d,0.0
#989776,0.0
#bcc8c4,0.0
#eba04f,0.0
#61183d,0.0
#555e5b,0.0
#79965f,0.0
#592e20,0.0
#aea1b1,0.0
#41392e,0.0
#d2cbd2,0.0
#070c1c,0.0
#41894a,0.0
#c4ab71,0.0
#e0ddd2,0.0
#a6c1cb,0.0
#29262b,0.0
#d0d0d6,0.0
#151516,0.0
#d2bfb1,0.0
#423b44,0.0
#c6b698,0.0
#74614b,0.0
#20191f,0.0
#2a8618,0.0
#3a1f0a,0.0
#710c18,0.0
#6a899f,0.0
#b9d95a,0.0
#8a9090,0.0
#b67f53,0.0
#667997,0.0
#4a6676,0.0
#131a1e,0.0
#b5cbe5,0.0
#5cc158,0.0
#20211a,0.0
#cd7a61,0.0
#3d4245,0.0
#d39e6a,0.0
#8c291c,0.0
