,precision,recall,f1-score,support
 modern,0.9995647916439996,0.9995919810679216,0.9995783861710664,36763.0
 Unknown,0.8980163863734368,0.8841948837703004,0.8910520404342943,9421.0
 Italy,0.8110959836623554,0.8989060731799321,0.8527464662730363,2651.0
 Netherlands,0.8148148148148148,0.8230535894843276,0.8189134808853119,989.0
 France,0.7437774524158126,0.655483870967742,0.6968449931412894,775.0
 Flanders,0.7564625850340136,0.8411497730711044,0.7965616045845272,661.0
 Germany,0.7972972972972973,0.8286516853932584,0.8126721763085399,356.0
 Spain,0.7945736434108527,0.8577405857740585,0.8249496981891348,239.0
 China,0.8453038674033149,0.6986301369863014,0.765,219.0
 Japan,0.7902097902097902,0.553921568627451,0.6512968299711815,204.0
 England,0.6868686868686869,0.5354330708661418,0.6017699115044248,127.0
 India,0.572463768115942,0.8315789473684211,0.6781115879828327,95.0
 Hungary,0.921875,0.855072463768116,0.8872180451127819,69.0
 Austria,0.7962962962962963,0.6417910447761194,0.7107438016528925,67.0
 United States,0.125,0.03333333333333333,0.05263157894736842,30.0
 Russia,0.8181818181818182,0.32142857142857145,0.46153846153846156,28.0
 Denmark,0.6,0.6,0.6,25.0
 Switzerland,0.782608695652174,0.8181818181818182,0.8,22.0
 Belgium,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0
 Roman Empire,1.0,1.0,1.0,11.0
 Tibet,0.3125,0.5,0.38461538461538464,10.0
 Scotland,0.3333333333333333,0.25,0.2857142857142857,8.0
 Korea,0.3333333333333333,0.125,0.18181818181818182,8.0
 Sweden,0.25,0.14285714285714285,0.18181818181818182,7.0
 United States of America,0.5,0.16666666666666666,0.25,6.0
 Norway,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
 Nepal,0.0,0.0,0.0,5.0
 Poland,0.5,0.25,0.3333333333333333,4.0
 Portugal,1.0,0.5,0.6666666666666666,4.0
 Venezuela,1.0,0.25,0.4,4.0
 Czech Republic,0.75,0.75,0.75,4.0
 Ireland,0.6,0.75,0.6666666666666666,4.0
 Greece,1.0,1.0,1.0,3.0
 Belize,0.0,0.0,0.0,2.0
 Kushan Empire,1.0,1.0,1.0,2.0
 Thailand,0.0,0.0,0.0,1.0
 United Kingdom,0.0,0.0,0.0,1.0
 Sasanian Empire,1.0,1.0,1.0,1.0
 Finland,0.0,0.0,0.0,1.0
 Colombia,0.0,0.0,0.0,1.0
 Bangladesh,0.5,1.0,0.6666666666666666,1.0
accuracy,0.9544181646168401,0.9544181646168401,0.9544181646168401,0.9544181646168401
macro avg,0.5956452763884404,0.5332357855504567,0.5433113667520516,52850.0
weighted avg,0.954251188236524,0.9544181646168401,0.9538178625679342,52850.0
