nationality,country
modern, Unknown
Italia, Italy
Nederland, Netherlands
"France métropolitaine, France", France
flemish, Flanders
"Deutschland, Europe", Germany
netherlandish, Netherlands
italian, Italy
french, France
dutch, Netherlands
spanish, Spain
german, Germany
english, England
austrian, Austria
danish, Denmark
unknown, Unknown
japanese, Japan
india, India
tibet, Tibet
chinese, China
roman, Roman Empire
american, United States
byzantine, Byzantine Empire
España, Spain
russian, Russia
swiss, Switzerland
western, Unknown
hungarian, Hungary
irish, Ireland
belgian, Belgium
polish, Poland
"Great Britain, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, UK", England
Sverige, Sweden
Magyarország, Hungary
Österreich, Austria
bohemian, Czech Republic
xinjiang, China
catalan, Spain
scottish, Scotland
greek, Greece
"norwegian,", Norway
nepal, Nepal
nan, Unknown
finnish, Finland
"Other, Corozal, Corozal District, Corozal, 0000, Belize", Belize
swedish, Sweden
thailand, Thailand
ethiopian, Ethiopia
kushan, Kushan Empire
Schweiz/Suisse/Svizzera/Svizra, Switzerland
other, Unknown
eastern, Unknown
south, Unknown
België / Belgique / Belgien, Belgium
central, Unknown
"Scotland, UK", Scotland
korean, Korea
Danmark, Denmark
portuguese, Portugal
"bengal,", Bangladesh
british, United Kingdom
United States of America, United States of America
"Russian, Municipio Benítez, Sucre, Venezuela", Venezuela
northern, Unknown
"Catalan, Ferrocarril, Perimetro Urbano Pereira, Pereira, Risaralda, Colombia", Colombia
"Î•Î»Î»Î¬Î´Î±", Unknown
"Bohemian, Plaquemines Parish, Louisiana, 70083, United States of America", United Stated of America
coptic, Egypt
"Irish, Nahant, Lawrence County, South Dakota, 57778, United States of America", United Stated of America
north, Unknown
sasanian, Sasanian Empire
teotihuacan, Mexico
egyptian, Egypt
cambodia, Cambodia
assyrian, Assyria
"Portugese Fort, كمران, الحديدة, اليمن", Portugal
franco-flemish, Belgium
iran, Iran
"mexican,", Mexico
mexican, Mexico
"bavaria,", Germany
sri, Srilanka
Ελλάδα, Greece




